,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Eenhana,-17.4667,16.3333,90.32,13,30,10.58,NA,2021-10-21 15:38:35
1,Saint-Philippe,-21.3585,55.7679,74.79,77,50,7.61,RE,2021-10-21 15:35:42
2,Chuy,-33.6971,-53.4616,68.68,48,0,5.32,UY,2021-10-21 15:38:35
3,Yinchuan,38.4681,106.2731,48.67,25,42,3.22,CN,2021-10-21 15:38:35
4,Tiksi,71.6872,128.8694,14.43,95,100,12.75,RU,2021-10-21 15:38:36
5,Greenville,35.6127,-77.3663,73.42,63,1,8.05,US,2021-10-21 15:38:36
6,Hualmay,-11.0964,-77.6139,68.41,71,73,9.17,PE,2021-10-21 15:33:59
7,Cape Town,-33.9258,18.4232,68.11,68,0,8.01,ZA,2021-10-21 15:35:19
8,Port Alfred,-33.5906,26.891,73.2,70,47,14.41,ZA,2021-10-21 15:38:37
9,Rikitea,-23.1203,-134.9692,74.3,74,100,19.6,PF,2021-10-21 15:38:37
10,Dunedin,-45.8742,170.5036,50.81,70,52,5.01,NZ,2021-10-21 15:38:37
11,Fenoarivo,-18.933,47.4354,69.87,64,75,11.5,MG,2021-10-21 15:38:38
12,Cockburn Town,21.4612,-71.1419,82.71,77,15,16.69,TC,2021-10-21 15:33:57
13,Luderitz,-26.6481,15.1594,59.67,82,10,14.74,NA,2021-10-21 15:34:04
14,Torbay,47.6666,-52.7314,51.58,76,75,26.46,CA,2021-10-21 15:35:36
15,Kaitangata,-46.2817,169.8464,39.34,93,13,3.33,NZ,2021-10-21 15:38:38
16,Codrington,-38.2667,141.9667,54.18,96,51,2.89,AU,2021-10-21 15:38:38
17,Barrow,71.2906,-156.7887,28.42,86,90,14.97,US,2021-10-21 15:38:39
18,Lebu,-37.6167,-73.65,55.36,75,72,16.42,CL,2021-10-21 15:35:32
19,Kristiinankaupunki,62.2743,21.376,46.6,89,86,4.36,FI,2021-10-21 15:38:39
20,Castro,-24.7911,-50.0119,67.53,51,84,4.09,BR,2021-10-21 15:33:48
21,Nome,64.5011,-165.4064,33.87,70,90,5.75,US,2021-10-21 15:38:40
22,Isangel,-19.55,169.2667,73.51,88,100,2.3,VU,2021-10-21 15:38:40
23,Opuwo,-18.0607,13.84,84.97,14,0,22.37,NA,2021-10-21 15:38:40
24,Havre-Saint-Pierre,50.2334,-63.5986,50.59,71,75,3.44,CA,2021-10-21 15:36:39
25,Thompson,55.7435,-97.8558,26.76,93,90,5.75,CA,2021-10-21 15:34:18
26,Bluff,-46.6,168.3333,41.31,85,6,5.99,NZ,2021-10-21 15:38:41
27,Vaini,-21.2,-175.2,73.56,88,20,8.05,TO,2021-10-21 15:38:41
28,Gravdal,68.1214,13.5031,35.28,93,75,8.05,NO,2021-10-21 15:38:41
29,Vao,-22.6667,167.4833,70.29,82,100,7.45,NC,2021-10-21 15:37:10
30,Busselton,-33.65,115.3333,52.09,85,49,6.35,AU,2021-10-21 15:38:42
31,Sao Joao Da Barra,-21.6403,-41.0511,71.69,75,99,9.15,BR,2021-10-21 15:38:42
32,Prince Rupert,54.3161,-130.3201,53.69,67,90,11.5,CA,2021-10-21 15:36:31
33,Mataura,-46.1927,168.8643,34.77,99,13,2.75,NZ,2021-10-21 15:38:42
34,Punta Arenas,-53.15,-70.9167,50.11,50,40,27.63,CL,2021-10-21 15:34:53
35,Shenjiamen,29.9576,122.298,62.69,68,100,21.74,CN,2021-10-21 15:38:43
36,Riyadh,24.6877,46.7219,87.94,21,0,11.68,SA,2021-10-21 15:38:17
37,Cumana,10.4635,-64.1775,86.45,63,21,5.19,VE,2021-10-21 15:38:43
38,Kapaa,22.0752,-159.319,73.38,97,90,4.61,US,2021-10-21 15:38:43
39,Cidreira,-30.1811,-50.2056,68.97,64,76,13.42,BR,2021-10-21 15:38:44
40,New Norfolk,-42.7826,147.0587,58.5,98,99,2.44,AU,2021-10-21 15:38:44
41,Acapulco,16.8634,-99.8901,82.22,89,40,0.0,MX,2021-10-21 15:38:44
42,Taylor,32.3001,-99.8337,69.03,73,90,1.99,US,2021-10-21 15:38:45
43,Monrovia,6.3005,-10.7969,83.97,74,98,10.51,LR,2021-10-21 15:38:45
44,Yeniseysk,58.4497,92.1703,37.67,83,85,4.85,RU,2021-10-21 15:38:45
45,Ilulissat,69.2167,-51.1,28.42,80,75,2.3,GL,2021-10-21 15:37:38
