,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hovd,48.0056,91.6419,34.92,43,78,1.3,MN,2021-10-22 21:50:24
1,Namibe,-15.1961,12.1522,65.01,70,4,11.48,AO,2021-10-22 21:50:25
2,Provideniya,64.3833,-173.3,26.76,67,100,9.04,RU,2021-10-22 21:50:25
3,Ushuaia,-54.8,-68.3,51.46,43,40,13.8,AR,2021-10-22 21:50:25
4,Albany,42.6001,-73.9662,56.26,65,100,7.11,US,2021-10-22 21:48:10
5,Vila Velha,-20.3297,-40.2925,73.35,78,75,5.75,BR,2021-10-22 21:50:26
6,Khatanga,71.9667,102.5,-4.14,100,99,4.29,RU,2021-10-22 21:50:26
7,Hilo,19.7297,-155.09,85.28,65,1,5.75,US,2021-10-22 21:49:28
8,Margate,51.3813,1.3862,52.7,77,77,1.99,GB,2021-10-22 21:50:26
9,Kaitangata,-46.2817,169.8464,58.24,65,100,2.77,NZ,2021-10-22 21:50:27
10,Avarua,-21.2078,-159.775,73.45,60,90,4.61,CK,2021-10-22 21:50:27
11,Mataura,-46.1927,168.8643,62.53,56,100,1.14,NZ,2021-10-22 21:50:27
12,Port Shepstone,-30.7414,30.455,66.56,83,4,4.81,ZA,2021-10-22 21:47:14
13,Aklavik,68.2191,-135.0107,36.32,85,100,18.01,CA,2021-10-22 21:50:28
14,Butaritari,3.0707,172.7902,82.54,78,94,17.4,KI,2021-10-22 21:50:28
15,Hofn,64.2539,-15.2082,45.27,97,100,13.06,IS,2021-10-22 21:50:28
16,Muros,42.7762,-9.0603,54.09,84,0,10.27,ES,2021-10-22 21:50:29
17,Luderitz,-26.6481,15.1594,56.03,89,0,7.49,NA,2021-10-22 21:50:29
18,Cherskiy,68.75,161.3,-4.04,100,100,2.71,RU,2021-10-22 21:50:29
19,Alanya,36.5438,31.9998,68.68,40,0,4.09,TR,2021-10-22 21:50:30
20,Atar,20.5169,-13.0499,79.45,19,27,6.64,MR,2021-10-22 21:50:30
21,Kenai,60.5544,-151.2583,39.15,87,90,12.66,US,2021-10-22 21:50:30
22,Hervey Bay,-25.2986,152.8535,80.04,83,23,15.03,AU,2021-10-22 21:50:31
23,Teya,60.3778,92.6267,35.19,79,100,14.27,RU,2021-10-22 21:50:31
24,Kirakira,-10.4544,161.9205,83.86,63,24,9.01,SB,2021-10-22 21:50:31
25,Katsuura,35.1333,140.3,55.51,77,19,13.33,JP,2021-10-22 21:50:31
26,Nikolskoye,59.7035,30.7861,45.88,70,100,14.85,RU,2021-10-22 21:50:32
27,Cape Town,-33.9258,18.4232,59.34,86,75,5.01,ZA,2021-10-22 21:50:32
28,Serebryansk,49.6925,83.2892,33.35,85,54,1.59,KZ,2021-10-22 21:50:32
29,Jamestown,42.097,-79.2353,50.09,76,75,5.75,US,2021-10-22 21:47:12
30,Port Alfred,-33.5906,26.891,62.37,85,81,9.17,ZA,2021-10-22 21:50:33
31,Stende,57.15,22.5333,47.14,76,70,7.05,LV,2021-10-22 21:50:33
32,Thompson,55.7435,-97.8558,35.76,75,90,6.91,CA,2021-10-22 21:49:20
33,Grindavik,63.8424,-22.4338,46.87,93,90,27.63,IS,2021-10-22 21:50:33
34,Hermanus,-34.4187,19.2345,59.81,89,100,28.25,ZA,2021-10-22 21:50:34
35,Hithadhoo,-0.6,73.0833,81.3,74,39,9.24,MV,2021-10-22 21:50:34
36,Cabo San Lucas,22.8909,-109.9124,89.62,67,0,9.37,MX,2021-10-22 21:50:32
37,Rikitea,-23.1203,-134.9692,74.25,82,100,21.52,PF,2021-10-22 21:47:05
38,Ayorou,14.7308,0.9174,95.58,25,88,1.36,NE,2021-10-22 21:50:34
39,Stephenville,32.2207,-98.2023,84.54,49,1,5.75,US,2021-10-22 21:50:35
40,Hobart,-42.8794,147.3294,54.01,93,75,14.97,AU,2021-10-22 21:50:35
41,Raichur,16.2,77.3667,71.62,64,64,6.82,IN,2021-10-22 21:50:36
42,Bambous Virieux,-20.3428,57.7575,73.22,100,75,3.44,MU,2021-10-22 21:50:36
43,Mandalgovi,45.7625,106.2708,32.34,36,58,4.83,MN,2021-10-22 21:50:36
44,Zvishavane,-20.3267,30.0665,75.97,38,34,3.96,ZW,2021-10-22 21:50:36
45,Alta Floresta,-9.8756,-56.0861,76.21,83,100,6.04,BR,2021-10-22 21:50:37
46,Vila Franca Do Campo,37.7167,-25.4333,70.21,77,87,5.17,PT,2021-10-22 21:50:37
47,Yar-Sale,66.8333,70.8333,27.91,93,99,7.87,RU,2021-10-22 21:50:37
48,Cravo Norte,6.3017,-70.2041,83.05,67,99,5.82,CO,2021-10-22 21:50:38
49,Kavieng,-2.5744,150.7967,82.54,75,80,10.87,PG,2021-10-22 21:50:38
50,Jumla,29.2747,82.1838,48.13,89,8,3.85,NP,2021-10-22 21:50:38
51,Georgetown,5.4112,100.3354,78.75,90,40,0.0,MY,2021-10-22 21:50:39
52,Qaqortoq,60.7167,-46.0333,37.38,97,100,5.75,GL,2021-10-22 21:50:39
53,Nanortalik,60.1432,-45.2371,38.91,96,100,8.79,GL,2021-10-22 21:50:39
54,Roros,62.5747,11.3842,31.84,93,90,3.44,NO,2021-10-22 21:50:40
55,Hamilton,39.1834,-84.5333,53.89,94,90,6.91,US,2021-10-22 21:48:06
