,city-id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
5,5,Vila Velha,-20.3297,-40.2925,73.35,78,75,5.75,BR,2021-10-22 21:50:26
7,7,Hilo,19.7297,-155.09,85.28,65,1,5.75,US,2021-10-22 21:49:28
10,10,Avarua,-21.2078,-159.775,73.45,60,90,4.61,CK,2021-10-22 21:50:27
14,14,Butaritari,3.0707,172.7902,82.54,78,94,17.4,KI,2021-10-22 21:50:28
20,20,Atar,20.5169,-13.0499,79.45,19,27,6.64,MR,2021-10-22 21:50:30
22,22,Hervey Bay,-25.2986,152.8535,80.04,83,23,15.03,AU,2021-10-22 21:50:31
24,24,Kirakira,-10.4544,161.9205,83.86,63,24,9.01,SB,2021-10-22 21:50:31
35,35,Hithadhoo,-0.6,73.0833,81.3,74,39,9.24,MV,2021-10-22 21:50:34
37,37,Rikitea,-23.1203,-134.9692,74.25,82,100,21.52,PF,2021-10-22 21:47:05
39,39,Stephenville,32.2207,-98.2023,84.54,49,1,5.75,US,2021-10-22 21:50:35
41,41,Raichur,16.2,77.3667,71.62,64,64,6.82,IN,2021-10-22 21:50:36
42,42,Bambous Virieux,-20.3428,57.7575,73.22,100,75,3.44,MU,2021-10-22 21:50:36
44,44,Zvishavane,-20.3267,30.0665,75.97,38,34,3.96,ZW,2021-10-22 21:50:36
45,45,Alta Floresta,-9.8756,-56.0861,76.21,83,100,6.04,BR,2021-10-22 21:50:37
46,46,Vila Franca Do Campo,37.7167,-25.4333,70.21,77,87,5.17,PT,2021-10-22 21:50:37
48,48,Cravo Norte,6.3017,-70.2041,83.05,67,99,5.82,CO,2021-10-22 21:50:38
49,49,Kavieng,-2.5744,150.7967,82.54,75,80,10.87,PG,2021-10-22 21:50:38
51,51,Georgetown,5.4112,100.3354,78.75,90,40,0.0,MY,2021-10-22 21:50:39
56,56,Maraa,-1.8333,-65.3667,78.53,83,73,3.13,BR,2021-10-22 21:50:40
57,57,Carira,-10.3608,-37.7011,73.17,86,64,9.53,BR,2021-10-22 21:50:40
60,60,Itarema,-2.9248,-39.9167,80.96,78,100,13.98,BR,2021-10-22 21:50:41
67,67,Ghanzi,-21.5667,21.7833,74.25,21,9,6.73,BW,2021-10-22 21:50:43
69,69,San Carlos,9.6612,-68.5827,79.77,69,90,3.13,VE,2021-10-22 21:50:44
74,74,Cururupu,-1.8283,-44.8683,78.06,84,98,3.83,BR,2021-10-22 21:50:45
77,77,Acarau,-2.8856,-40.12,81.14,79,100,14.92,BR,2021-10-22 21:47:07
78,78,Merauke,-8.4667,140.3333,79.97,78,97,10.63,ID,2021-10-22 21:50:46
79,79,Touros,-5.1989,-35.4608,81.5,82,75,11.23,BR,2021-10-22 21:50:47
81,81,Sola,-13.8833,167.55,84.87,74,40,0.0,VU,2021-10-22 21:50:47
82,82,Laguna,38.421,-121.4238,70.11,62,20,5.99,US,2021-10-22 21:50:48
83,83,Trairi,-3.2778,-39.2689,80.22,77,58,9.8,BR,2021-10-22 21:50:21
84,84,Najran,17.4924,44.1277,70.45,35,6,1.39,SA,2021-10-22 21:50:48
89,89,Petrolina,-9.3986,-40.5008,82.45,69,0,10.36,BR,2021-10-22 21:50:50
92,92,Hobyo,5.3505,48.5268,78.73,83,9,11.18,SO,2021-10-22 21:50:50
93,93,Tagusao,9.1924,117.8141,80.2,83,100,3.83,PH,2021-10-22 21:50:51
95,95,Atuona,-9.8,-139.0333,78.01,77,32,18.34,PF,2021-10-22 21:50:51
