,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Date
1,Hambantota,LK,6.1241,81.1185,76.57,86,100,5.57,overcast clouds,2021-10-26 21:11:50
6,Halvad,IN,23.0167,71.1833,79.09,48,10,5.26,clear sky,2021-10-26 21:11:58
8,Mahebourg,MU,-20.4081,57.7,73.26,73,14,13.0,few clouds,2021-10-26 21:12:01
18,Bambous Virieux,MU,-20.3428,57.7575,73.22,73,19,12.91,few clouds,2021-10-26 21:12:18
20,Butaritari,KI,3.0707,172.7902,82.58,74,35,12.39,scattered clouds,2021-10-26 21:12:22
21,Ribeira Grande,PT,38.5167,-28.7,72.0,88,75,18.41,broken clouds,2021-10-26 21:10:48
22,Marzuq,YE,14.4,46.4667,70.23,63,3,3.58,clear sky,2021-10-26 21:12:25
24,Coahuayana,MX,18.7333,-103.6833,86.88,65,100,5.26,overcast clouds,2021-10-26 21:12:28
25,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,75,8.05,broken clouds,2021-10-26 21:12:29
30,Mount Isa,AU,-20.7333,139.5,73.17,56,66,0.0,broken clouds,2021-10-26 21:12:38
31,Chuy,UY,-33.6971,-53.4616,76.73,65,0,6.13,clear sky,2021-10-26 21:12:39
32,Kapaa,US,22.0752,-159.319,82.38,73,1,1.99,clear sky,2021-10-26 21:09:52
34,Muisne,EC,0.6,-80.0333,82.51,84,100,9.84,overcast clouds,2021-10-26 21:12:43
35,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,90,5.01,overcast clouds,2021-10-26 21:09:48
36,Rikitea,PF,-23.1203,-134.9692,74.66,81,100,19.22,light rain,2021-10-26 21:12:46
38,Tema,GH,5.667,-0.0166,79.65,81,100,8.32,overcast clouds,2021-10-26 21:12:49
40,Manokwari,ID,-0.8667,134.0833,78.1,78,32,2.77,scattered clouds,2021-10-26 21:12:03
41,Oriximina,BR,-1.7656,-55.8661,88.48,55,48,2.68,heavy intensity rain,2021-10-26 21:11:50
48,Santa Cruz,BO,-17.8,-63.1667,87.26,33,20,2.3,few clouds,2021-10-26 21:11:07
50,Nouadhibou,MR,20.931,-17.0347,70.47,72,99,19.35,overcast clouds,2021-10-26 21:13:10
56,Ponta Do Sol,PT,32.6667,-17.1,70.43,61,13,6.42,few clouds,2021-10-26 21:13:22
58,Ambilobe,MG,-13.2,49.05,72.79,72,1,5.01,clear sky,2021-10-26 21:13:26
60,San Luis Potosi,MX,22.5,-100.5,77.67,43,100,8.97,overcast clouds,2021-10-26 21:13:30
63,Bonthe,SL,7.5264,-12.505,78.75,81,98,4.97,overcast clouds,2021-10-26 21:13:35
64,Trairi,BR,-3.2778,-39.2689,80.44,74,9,13.44,clear sky,2021-10-26 21:11:16
65,Puerto Madryn,AR,-42.7692,-65.0385,77.83,20,100,26.6,overcast clouds,2021-10-26 21:13:38
66,Atuona,PF,-9.8,-139.0333,77.4,68,6,14.81,clear sky,2021-10-26 21:13:33
67,Abu Dhabi,AE,24.4667,54.3667,82.51,57,0,5.75,clear sky,2021-10-26 21:13:41
72,Banda Aceh,ID,5.5577,95.3222,78.4,82,99,8.34,overcast clouds,2021-10-26 21:13:49
73,Pontianak,ID,-0.0333,109.3333,76.98,100,90,3.44,mist,2021-10-26 21:13:52
76,Vaini,TO,-21.2,-175.2,77.16,78,20,13.8,few clouds,2021-10-26 21:13:56
82,Victoria,HK,22.2855,114.1577,78.33,86,100,1.99,overcast clouds,2021-10-26 21:12:02
83,Caravelas,BR,-17.7125,-39.2481,75.52,87,9,9.17,clear sky,2021-10-26 21:14:12
85,Canalete,CO,8.6761,-76.2042,83.12,82,91,11.48,overcast clouds,2021-10-26 21:14:15
86,Lubao,PH,14.9167,120.55,78.15,86,94,4.88,overcast clouds,2021-10-26 21:14:17
87,Umm Lajj,SA,25.0213,37.2685,79.32,60,0,4.47,clear sky,2021-10-26 21:14:19
88,Bhikangaon,IN,21.8667,75.95,71.46,62,2,3.31,clear sky,2021-10-26 21:14:22
91,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,26,0,31.07,clear sky,2021-10-26 21:14:27
93,Alice Springs,AU,-23.7,133.8833,83.75,28,67,12.66,broken clouds,2021-10-26 21:14:30
102,Dillon,US,34.4166,-79.3712,75.18,37,0,15.12,clear sky,2021-10-26 21:14:48
104,Luanda,AO,-8.8368,13.2343,75.2,83,0,10.36,clear sky,2021-10-26 21:14:52
105,Avera,US,33.194,-82.5271,74.08,40,0,10.27,clear sky,2021-10-26 21:11:34
106,Marsa Matruh,EG,31.3525,27.2453,70.23,76,25,10.25,scattered clouds,2021-10-26 21:14:55
107,Bengkulu,ID,-3.8004,102.2655,75.31,90,100,6.42,light rain,2021-10-26 21:14:56
108,Managua,NI,12.1328,-86.2504,86.95,66,94,6.82,overcast clouds,2021-10-26 21:11:26
109,Port Blair,IN,11.6667,92.75,77.04,88,75,2.3,mist,2021-10-26 21:15:00
113,Hilo,US,19.7297,-155.09,82.13,62,40,6.91,scattered clouds,2021-10-26 21:15:08
114,Sai Buri,TH,6.7013,101.6168,77.94,86,89,1.88,overcast clouds,2021-10-26 21:15:10
118,Avarua,CK,-21.2078,-159.775,78.85,65,20,11.5,few clouds,2021-10-26 21:15:16
121,Saint-Philippe,RE,-21.3585,55.7679,71.15,82,23,12.3,few clouds,2021-10-26 21:15:23
124,Distraccion,CO,10.8969,-72.8861,83.03,78,79,4.63,broken clouds,2021-10-26 21:15:28
126,Siwana,IN,25.6333,72.4167,75.63,34,0,6.33,clear sky,2021-10-26 21:15:31
129,Ambulu,ID,-8.345,113.6058,76.05,92,97,1.45,overcast clouds,2021-10-26 21:15:35
132,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.72,97,100,2.26,light rain,2021-10-26 21:15:40
133,Georgetown,MY,5.4112,100.3354,78.89,92,40,0.0,scattered clouds,2021-10-26 21:15:23
134,Sharjah,AE,25.3573,55.4033,85.98,49,0,2.3,clear sky,2021-10-26 21:15:43
149,Ko Samui,TH,9.5357,99.9357,82.15,77,93,9.75,overcast clouds,2021-10-26 21:16:10
152,Vila Velha,BR,-20.3297,-40.2925,76.95,83,40,6.91,scattered clouds,2021-10-26 21:16:16
153,Faanui,PF,-16.4833,-151.75,78.46,77,76,7.0,broken clouds,2021-10-26 21:16:18
