,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Date
0,Carnarvon,AU,-24.8667,113.6333,71.67,30,79,20.71,broken clouds,2021-10-28 02:46:54
1,Kushima,JP,31.4583,131.2333,69.84,41,0,4.21,clear sky,2021-10-28 02:46:55
2,Avarua,CK,-21.2078,-159.775,77.05,69,75,9.22,broken clouds,2021-10-28 02:46:57
3,Punta Arenas,CL,-53.15,-70.9167,48.31,61,0,8.05,clear sky,2021-10-28 02:44:54
4,Alofi,NU,-19.0595,-169.9187,80.49,61,75,16.11,broken clouds,2021-10-28 02:46:59
5,Rikitea,PF,-23.1203,-134.9692,74.66,75,9,3.98,clear sky,2021-10-28 02:47:00
6,Thompson,CA,55.7435,-97.8558,41.16,100,90,4.61,light intensity drizzle,2021-10-28 02:47:02
7,Ushuaia,AR,-54.8,-68.3,47.86,49,0,2.3,clear sky,2021-10-28 02:47:03
8,Hithadhoo,MV,-0.6,73.0833,82.85,69,74,13.13,broken clouds,2021-10-28 02:47:05
9,Hilo,US,19.7297,-155.09,84.27,72,90,9.22,overcast clouds,2021-10-28 02:43:47
10,Bethel,US,41.3712,-73.414,53.49,86,1,4.61,clear sky,2021-10-28 02:47:07
11,Bontang,ID,0.1333,117.5,84.76,70,77,6.33,broken clouds,2021-10-28 02:47:09
12,Torbay,CA,47.6666,-52.7314,39.58,84,90,12.66,overcast clouds,2021-10-28 02:43:16
13,La Libertad,EC,-2.2333,-80.9,70.63,84,100,12.86,overcast clouds,2021-10-28 02:47:11
14,Tommot,RU,58.9564,126.2925,37.78,80,100,9.71,overcast clouds,2021-10-28 02:47:13
15,Fortuna,US,40.5982,-124.1573,60.19,67,75,1.01,broken clouds,2021-10-28 02:47:14
16,Kruisfontein,ZA,-34.0033,24.7314,64.94,82,100,6.13,overcast clouds,2021-10-28 02:47:15
17,Albany,US,42.6001,-73.9662,48.4,82,100,3.69,overcast clouds,2021-10-28 02:42:57
18,Bengkulu,ID,-3.8004,102.2655,82.06,68,100,1.86,overcast clouds,2021-10-28 02:47:18
19,Hambantota,LK,6.1241,81.1185,79.14,100,84,6.91,broken clouds,2021-10-28 02:47:19
20,Berlevag,NO,70.8578,29.0864,30.43,69,36,16.17,scattered clouds,2021-10-28 02:47:21
21,Nikolskoye,RU,59.7035,30.7861,44.87,95,100,9.22,overcast clouds,2021-10-28 02:47:22
22,Oriximina,BR,-1.7656,-55.8661,76.12,84,71,1.92,broken clouds,2021-10-28 02:47:23
23,Te Anau,NZ,-45.4167,167.7167,65.88,58,18,3.87,few clouds,2021-10-28 02:47:25
24,Castro,BR,-24.7911,-50.0119,61.0,97,100,7.47,overcast clouds,2021-10-28 02:45:24
25,Port Alfred,ZA,-33.5906,26.891,66.96,83,100,23.76,overcast clouds,2021-10-28 02:47:30
26,Buraydah,SA,26.326,43.975,70.25,18,100,11.9,overcast clouds,2021-10-28 02:47:32
27,Pocatello,US,42.8713,-112.4455,48.88,62,40,18.01,scattered clouds,2021-10-28 02:43:34
28,Ilulissat,GL,69.2167,-51.1,15.82,53,60,4.61,broken clouds,2021-10-28 02:47:34
29,Kallaste,EE,58.655,27.1592,48.43,84,70,14.41,broken clouds,2021-10-28 02:47:36
30,Hobyo,SO,5.3505,48.5268,78.37,75,5,1.95,moderate rain,2021-10-28 02:47:38
31,Nogent-Le-Rotrou,FR,48.3333,1.0,44.6,82,6,7.36,clear sky,2021-10-28 02:47:39
32,Saint Anthony,US,45.0205,-93.218,54.1,72,90,1.01,overcast clouds,2021-10-28 02:44:02
33,San Jeronimo,PE,-11.9472,-75.2829,51.48,73,39,4.16,scattered clouds,2021-10-28 02:47:42
34,Rabo De Peixe,PT,37.8,-25.5833,67.51,77,40,16.11,scattered clouds,2021-10-28 02:47:43
35,Bandarbeyla,SO,9.4942,50.8122,75.42,69,0,4.12,clear sky,2021-10-28 02:47:44
36,Bintulu,MY,3.1667,113.0333,84.61,79,40,1.99,scattered clouds,2021-10-28 02:47:45
37,Kapaa,US,22.0752,-159.319,80.58,76,1,1.01,clear sky,2021-10-28 02:47:47
38,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,90,5.75,overcast clouds,2021-10-28 02:47:48
39,Duki,PK,30.1541,68.5728,62.64,20,0,3.06,clear sky,2021-10-28 02:47:51
40,Fort Morgan,US,40.2503,-103.8,51.22,34,90,21.85,overcast clouds,2021-10-28 02:47:52
41,Bluff,NZ,-46.6,168.3333,56.93,80,11,13.04,few clouds,2021-10-28 02:44:57
42,Bambous Virieux,MU,-20.3428,57.7575,75.22,88,20,5.75,few clouds,2021-10-28 02:47:57
43,Atuona,PF,-9.8,-139.0333,77.97,70,1,15.95,clear sky,2021-10-28 02:43:33
44,Guiyang,CN,26.5833,106.7167,52.29,100,90,6.71,mist,2021-10-28 02:47:59
